Tabela 2.3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil: Dispêndios dos governos estaduais em pesquisa e desenvolvimento (P&D) por execução, segundo regiões e unidades da federação 2000-2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(em milhões de R$ correntes)
Grandes Regiões / Unidades da Federação;2000;;;2001;;;2002;;;2003;;;2004;;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023(3);;
;P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2);P&D;Orçamento executado(1);Pós-graduação(2)
Total;  2.486,2 ;  941,8 ;  1.544,4 ;  2.884,4 ;  1.125,4 ;  1.758,9 ;  2.932,6 ;  961,3 ;  1.971,3 ;  3.023,6 ;  925,2 ;  2.098,4 ;  2.917,0 ;  1.067,3 ;  1.849,7 ;  3.286,1 ;  1.320,8 ;  1.965,3 ;  3.427,6 ;  1.426,0 ;  2.001,6 ;  4.740,1 ;  1.717,2 ;  3.022,9 ;  5.611,7 ;  2.011,4 ;  3.600,3 ;  6.036,2 ;  2.321,1 ;  3.715,1 ;  6.999,7 ;  2.491,7 ;  4.508,0 ;  8.598,4 ;  2.767,9 ;  5.830,5 ;  9.782,2 ;  3.165,4 ;  6.616,8 ;  10.981,3 ;  3.345,8 ;  7.635,5 ;  12.721,2 ;  3.713,0 ;  9.008,1 ;  14.831,8 ;  4.259,1 ;  10.572,7 ;  14.907,6 ;  3.613,3 ;  11.294,2 ;  15.456,9 ;  3.662,5 ;  11.794,4 ;  17.001,2 ;  3.630,7 ;  13.370,5 ;  13.785,3 ;  3.537,4 ;  10.247,8 ;  14.115,2 ;  3.866,5 ;  10.248,7 ;  16.905,0 ;  4.376,4 ;  12.528,6 ;  20.541,3 ;  5.692,8 ;  14.848,5 ;  18.978,6 ;  5.150,8 ;  13.827,8 
Norte;  7,1 ;  7,1 ;  - ;  7,5 ;  7,5 ;  - ;  9,4 ;  9,1 ;  0,2 ;  11,6 ;  10,4 ;  1,2 ;  8,0 ;  7,1 ;  0,9 ;  35,5 ;  34,6 ;  0,9 ;  59,8 ;  58,9 ;  0,9 ;  57,1 ;  49,3 ;  7,8 ;  89,5 ;  80,3 ;  9,2 ;  70,7 ;  61,3 ;  9,4 ;  79,5 ;  68,0 ;  11,5 ;  81,4 ;  62,6 ;  18,8 ;  137,6 ;  113,8 ;  23,8 ;  124,7 ;  87,6 ;  37,1 ;  166,7 ;  114,9 ;  51,8 ;  153,4 ;  90,5 ;62,9 ;168,3 ;94,8 ;73,4 ;154,8 ;76,8 ;78,0 ;194,0 ;91,2 ;102,8 ;200,9 ;76,7 ;124,3 ;204,2 ;83,1 ;121,2 ;297,2 ;139,8 ;157,4 ;421,4 ;218,5 ;202,9 ;444,2 ;175,3 ;268,9 
Acre;  - ; - ; - ;  - ; - ; - ;  0,7 ;  0,7 ; - ;  0,7 ;  0,7 ; - ;  1,0 ;  1,0 ; - ;  2,8 ;  2,8 ; - ;  3,4 ;  3,4 ; - ;  2,3 ;  2,3 ; - ;  2,8 ;  2,8 ; - ;  3,6 ;  3,6 ;  - ;  3,6 ;3,6 ;-;  3,2 ;3,2 ;-;  1,8 ;1,8 ;-;  4,3 ;4,3 ;-;  2,8 ;2,8;-;  2,0 ;2,0;-;  1,5 ;1,5 ;-;  1,5 ;1,5 ;-;  0,7 ;0,7 ;-;  0,4 ;0,4 ;-;  0,0 ;0,0 ;-;  - ;0,0 ;-;  13,2 ;13,2 ;-; - ;-;-
Amapá;  4,5 ;  4,5 ; - ;  6,2 ;  6,2 ; - ;  5,3 ;  5,3 ; - ;  1,8 ;  1,8 ; - ;  1,2 ;  1,2 ; - ;  1,5 ;  1,5 ; - ;  2,1 ;  2,1 ; - ;  1,8 ;  1,8 ; - ;  4,3 ;  4,3 ; - ;  4,4 ;  4,4 ;  - ;  4,4 ;4,4 ;-;  1,8 ;1,8 ;-;  1,4 ;1,4 ;-;  2,1 ;2,1 ;-;  0,7 ;0,7;-;  3,0 ;3,0;-;  3,3 ;3,3 ;-;  2,6 ;2,6 ;-;  4,1 ;4,1 ;-;  3,9 ;3,9 ;-;  3,3 ;3,3 ;-;  6,5 ;6,5 ;-;  14,2 ;14,2 ;-;  5,6 ;5,6 ;-
Amazonas;  - ; - ; - ;  - ; - ; - ;  0,3 ;  0,0 ;  0,2 ;  4,7 ;  3,6 ;  1,2 ;  5,7 ;  4,7 ;  0,9 ;  29,3 ;  28,3 ;  0,9 ;  50,0 ;  49,1 ;  0,9 ;  39,7 ;  33,6 ;  6,1 ;  51,1 ;  43,9 ;  7,2 ;  41,2 ;  33,8 ;  7,4 ;  45,5 ;38,9 ;6,6 ;  52,2 ;41,9 ;10,3 ;  61,9 ;52,3 ;9,5 ;  71,9 ;50,5 ;21,4 ;  93,5 ;66,2;27,3 ;  101,7 ;64,3;37,4 ;  98,0 ;54,3;43,7 ;  77,1 ;35,8;41,4 ;  123,6 ;58,2;65,4 ;  116,4 ;43,2;73,2 ;  121,3 ;48,5;72,8 ;  150,5 ;60,3;90,2 ;  201,9 ;86,1;115,8 ;  215,1 ;68,3;146,7 
Pará;  2,3 ;  2,3 ; - ;  1,2 ;  1,2 ; - ;  3,0 ;  3,0 ; - ;  4,2 ;  4,2 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  1,8 ;  1,8 ; - ;  7,6 ;  5,9 ;  1,7 ;  27,1 ;  25,0 ;  2,1 ;  15,3 ;  13,3 ;  2,0 ;  21,3 ;16,5 ;4,8 ;  18,4 ;9,9 ;8,5 ;  67,9 ;55,0 ;12,9 ;  38,0 ;24,4 ;13,6 ;  55,8 ;38,0;17,8 ;  36,2 ;17,0;19,1 ;49,8 ;28,7;21,0 ;52,8 ;31,0;21,8 ;45,7 ;21,1;24,6 ;62,8 ;25,4;37,5 ;66,2 ;28,5;37,7 ;120,2 ;66,7;53,5 ;158,5 ;91,4;67,1 ;168,9 ;73,4;95,5 
Rondônia;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  - ; - ; - ;  0,6 ;  0,6 ; - ;  0,1 ;  0,1 ;  - ;  0,3 ;0,3 ;-;  0,8 ;0,8 ;-;  0,4 ;0,4 ;-;  0,0 ;0,0 ;-;  0,4 ;0,4;-;  0,8 ;0,8;-;  2,4 ;2,4 ;-;  2,2 ;2,2 ;-;  3,6 ;3,6 ;-;  1,7 ;1,7 ;-;  1,6 ;1,6 ;-;  4,9 ;4,9 ;-;  6,7 ;6,7 ;-;  9,9 ;9,9 ;-
Roraima;  0,3 ;  0,3 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  0,1 ;  0,1 ; - ;  0,4 ;  0,4 ; - ;  0,5 ;  0,5 ; - ;  2,5 ;  2,5 ; - ;  0,9 ;  0,9 ; - ;  5,2 ;  5,2 ;  - ;  1,8 ;1,8 ;-;  0,3 ;0,3 ;-;  1,6 ;0,2 ;1,4 ;  2,8 ;0,7 ;2,1 ;  10,7 ;4,0;6,7 ;  8,4 ;2,1;6,3 ;11,8 ;3,1;8,7 ;16,8 ;1,9;14,9 ;15,9 ;3,1;12,8 ;13,8 ;0,1;13,7 ;10,7 ;0,1;10,6 ;13,8 ;0,1;13,7 ;21,3 ;1,3;20,0 ;30,1 ;3,3;26,7 
