Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
1;2026;JANEIRO;BRASIL;RIO DE JANEIRO;10.0;12.0;0;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO SUL;9746811.75;32753148.75;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;9746811.75;32753148.75;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;9746811.75;32753148.75;1;1
0;2026;JANEIRO;RUSSIA;PARANA;9579793.0;29707504.0;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;8531980.0;26000000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;5833366.0;18306888.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;5740055.0;18100000.0;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;5651800.0;14000000.0;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;5584361.0;12820600.0;1;1
0;2026;JANEIRO;RUSSIA;CEARA;4753800.0;20850000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;4307693.0;19230770.0;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;4079767.0;12800000.0;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;3587016.0;15751430.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;3496370.0;11000000.0;1;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO NORTE;3420000.0;15000000.0;1;1
0;2026;JANEIRO;RUSSIA;PARANA;3195677.0;10530000.0;1;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO SUL;3050500.0;10000000.0;1;1
0;2026;JANEIRO;RUSSIA;PARAIBA;2755930.0;12007270.0;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;2616067.0;6188000.0;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;2603900.0;6800000.0;1;1
0;2026;JANEIRO;RUSSIA;PERNAMBUCO;2412270.0;8186236.0;1;1
0;2026;JANEIRO;RUSSIA;PARA;2334150.0;6300000.0;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;2130318.0;5797980.0;1;1
0;2026;JANEIRO;RUSSIA;PARANA;1973024.0;5208000.0;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;1892919.0;6185000.0;1;1
0;2026;JANEIRO;RUSSIA;PARA;1530353.0;5185000.0;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;1500750.0;5000000.0;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;1475750.0;5000000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;1239107.0;4120000.0;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;1110751.0;2548000.0;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;982350.0;3000000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;870675.0;2350000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;781500.0;2000000.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;631000.0;2000000.0;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;600446.0;2000411.0;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;430049.0;1090400.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;425500.0;1008000.0;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;412425.0;1008000.0;1;1
