UF do Produto;Região;Macro_Região;Cluster_KMeans;Cluster_Hierarquico;%_Desenvolvida;%_Emergente;%_China;%_EUA
Distrito Federal;Centro-Oeste;Centro-Oeste;0;0;15.2;84.8;29.1;2.9
Goiás;Centro-Oeste;Centro-Oeste;0;0;24.7;75.3;43.3;4.8
Mato Grosso;Centro-Oeste;Centro-Oeste;0;0;15.8;84.2;41.0;0.9
Mato Grosso do Sul;Centro-Oeste;Centro-Oeste;0;0;21.9;78.1;44.8;5.0
Alagoas;Nordeste;Norte/Nordeste;0;1;55.5;44.5;9.8;8.0
Bahia;Nordeste;Norte/Nordeste;0;0;39.0;61.0;24.5;6.2
Maranhão;Nordeste;Norte/Nordeste;0;1;50.1;49.9;32.1;11.7
Pernambuco;Nordeste;Norte/Nordeste;0;0;24.7;75.3;3.0;4.6
Piauí;Nordeste;Norte/Nordeste;0;0;12.4;87.6;70.3;2.6
Acre;Norte;Norte/Nordeste;0;0;14.8;85.2;5.7;1.3
Amazonas;Norte;Norte/Nordeste;0;0;22.4;77.6;8.6;5.4
Pará;Norte;Norte/Nordeste;0;0;35.2;64.8;45.2;4.3
Rondônia;Norte;Norte/Nordeste;0;0;21.2;78.8;32.7;4.3
Roraima;Norte;Norte/Nordeste;0;0;8.1;91.9;26.8;0.2
Tocantins;Norte;Norte/Nordeste;0;0;19.3;80.7;55.0;1.8
Minas Gerais;Sudeste;Sul/Sudeste;0;0;41.1;58.9;34.9;9.3
Rio de Janeiro;Sudeste;Sul/Sudeste;0;0;43.6;56.4;37.6;13.5
São Paulo;Sudeste;Sul/Sudeste;0;0;38.4;61.6;13.8;18.8
Paraná;Sul;Sul/Sudeste;0;0;23.4;76.6;22.3;5.0
Rio Grande do Sul;Sul;Sul/Sudeste;0;0;26.2;73.8;21.5;7.3
Santa Catarina;Sul;Sul/Sudeste;0;0;35.6;64.4;9.6;11.8
Ceará;Nordeste;Norte/Nordeste;1;1;72.8;27.2;3.6;43.9
Paraíba;Nordeste;Norte/Nordeste;1;1;57.6;42.4;5.0;15.5
Rio Grande do Norte;Nordeste;Norte/Nordeste;1;1;81.8;18.2;2.1;14.5
Sergipe;Nordeste;Norte/Nordeste;1;1;73.8;26.2;0.6;30.9
Amapá;Norte;Norte/Nordeste;1;1;77.7;22.3;4.5;8.7
Espírito Santo;Sudeste;Sul/Sudeste;1;1;61.1;38.9;5.7;26.4
