Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
1;2026;JANEIRO;BRASIL;RIO DE JANEIRO;-0.6284951983010979;-0.6891892208060486;0;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO SUL;2.7530168694601382;3.083089124723564;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;1.719335089690131;1.9444912068445155;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;1.2059594483982914;1.3102406842404926;1;1
0;2026;JANEIRO;RUSSIA;PARANA;1.0507161711949446;1.0891960860608545;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;0.8670481796855589;0.867253061090915;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;0.39401624246096906;0.4067188179147677;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;0.37766003772240186;0.39433384178258263;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;0.3621900840277437;0.1488947532807898;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;0.3503689044094326;0.07829210426151798;1;1
0;2026;JANEIRO;RUSSIA;CEARA;0.20478236301700206;0.5589576206557363;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;0.1265856077865578;0.46202534375945387;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;0.08663314429090711;0.07705892249977726;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;0.00026030249161538286;0.2537409442014471;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;-0.015628762406758437;-0.030694823671741527;1;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO NORTE;-0.02901543017244924;0.20875794559830024;1;1
0;2026;JANEIRO;RUSSIA;PARANA;-0.06833633462711806;-0.05883052406097143;1;1
0;2026;JANEIRO;RUSSIA;RIO GRANDE DO SUL;-0.09378397461951946;-0.09055801598925196;1;1
0;2026;JANEIRO;RUSSIA;PARAIBA;-0.14541826457289828;0.029603574053917215;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;-0.16993442947682408;-0.31875650510360176;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;-0.17206714633822462;-0.28212023140528536;1;1
0;2026;JANEIRO;RUSSIA;PERNAMBUCO;-0.20565739308353467;-0.19913571913982897;1;1
0;2026;JANEIRO;RUSSIA;PARA;-0.21935081308950255;-0.3120518275640406;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;-0.2550799117410187;-0.3421043473712772;1;1
0;2026;JANEIRO;RUSSIA;PARANA;-0.28265150424509844;-0.377422433574762;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;-0.2966928689350377;-0.3189360946805543;1;1
0;2026;JANEIRO;RUSSIA;PARA;-0.360245973362633;-0.37879928699806475;1;1
0;2026;JANEIRO;RUSSIA;BAHIA;-0.3654349942591597;-0.3898739775768042;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;-0.3698171691202605;-0.3898739775768042;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;-0.41129760934647985;-0.4425535868162134;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;-0.43379674680533814;-0.5366585251393398;1;1
0;2026;JANEIRO;RUSSIA;SAO PAULO;-0.4563037721789464;-0.509600362211825;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;-0.47587894728348384;-0.5485114372182068;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;-0.49151016501303046;-0.5694635545293355;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;-0.5178908576768574;-0.5694635545293355;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;-0.5232465765051004;-0.569438950757293;1;1
0;2026;JANEIRO;RUSSIA;SANTA CATARINA;-0.5531149544973804;-0.6239151142613429;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;-0.5539123350351063;-0.6288478413083058;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;-0.556204212487462;-0.6288478413083058;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;-0.5568951938195603;-0.6288478413083058;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;-0.5599576328994921;-0.6305240106931962;1;1
0;2026;JANEIRO;RUSSIA;PARANA;-0.5686234713308161;-0.6523142126967699;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;-0.5719581311131194;-0.629326746846846;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;-0.5731939044239499;-0.629326746846846;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;-0.5771063101399407;-0.6523142126967699;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;-0.5912046431030743;-0.6590188902363311;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;-0.5932481388843028;-0.6590188902363311;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;-0.5932481388843028;-0.6590188902363311;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;-0.5985291854529127;-0.6707520759305632;1;1
0;2026;JANEIRO;RUSSIA;PARANA;-0.6228823334520055;-0.6858376003945758;1;1
1;2025;FEVEREIRO;BRASIL;ESPIRITO SANTO;-0.6283674140821481;-0.6891450417701183;0;1
1;2025;OUTUBRO;BRASIL;ESPIRITO SANTO;-0.6283858192165648;-0.6891420486105023;0;1
1;2025;MARCO;BRASIL;ESPIRITO SANTO;-0.6284559340143424;-0.6891719802066611;0;1
1;2025;NOVEMBRO;BRASIL;ESPIRITO SANTO;-0.6284562845883312;-0.6891719802066611;0;1
1;2025;AGOSTO;BRASIL;ESPIRITO SANTO;-0.6284703075478868;-0.6891779665258929;0;1
1;2025;AGOSTO;BRASIL;SAO PAULO;-0.6284811753415424;-0.6891869460047405;0;1
